Architecture,mean_auc,std_auc,mean_ba,std_ba,mean_f1,std_f1,n_folds
GAT,0.5751908960299882,0.04660384465872685,0.5490302164912894,0.038374204734643466,0.4826888068137526,0.13661842992644702,7
GCN,0.546837573397266,0.07334480403584709,0.5406510400425929,0.03874115540873209,0.480159153198169,0.11373072844338808,7
GIN,0.5437386464725371,0.0633136779711975,0.5312826394937264,0.057947064124252524,0.46895784727531703,0.15520434490013413,7
SAGE,0.550201042055969,0.044795665313021225,0.5147425378305535,0.03607018559506023,0.33086819089142727,0.18998096014361615,7
