,occupancy_state0,occupancy_state1,occupancy_state2,dwell_state0,dwell_state1,dwell_state2,switching_rate,transition_entropy
occupancy_state0,1.0,-0.8404539302995033,-0.44241436137506357,0.7419547207534045,-0.594855660075611,-0.2809590245809747,-0.323350508833002,-0.33863664091634954
occupancy_state1,-0.8404539302995033,1.0,-0.11413761871943483,-0.5715077491322179,0.7908416078020735,-0.08267167601472276,0.0856110873990362,0.10545176827611878
occupancy_state2,-0.44241436137506357,-0.11413761871943483,1.0,-0.41442840913120604,-0.21825193206048388,0.6519189344936638,0.4511314256811767,0.44632024028134265
dwell_state0,0.7419547207534045,-0.5715077491322179,-0.41442840913120604,1.0,-0.37789876552707385,-0.2421839868816084,-0.5053175708593288,-0.45321267747169985
dwell_state1,-0.594855660075611,0.7908416078020735,-0.21825193206048388,-0.37789876552707385,1.0,-0.09855199378660728,-0.25251478887556394,-0.1982073942877044
dwell_state2,-0.2809590245809747,-0.08267167601472276,0.6519189344936638,-0.2421839868816084,-0.09855199378660728,1.0,0.08476510754112991,0.21075689365178044
switching_rate,-0.323350508833002,0.0856110873990362,0.4511314256811767,-0.5053175708593288,-0.25251478887556394,0.08476510754112991,1.0,0.8394561131477198
transition_entropy,-0.33863664091634954,0.10545176827611878,0.44632024028134265,-0.45321267747169985,-0.1982073942877044,0.21075689365178044,0.8394561131477198,1.0
