Feature,Raw H,Raw p,ComBat H,ComBat p,Eta Raw,Eta ComBat
avg_strength,405.4457353818648,1.2810815970593475e-82,4.036716606718983,0.8537956482731631,0.5310471929883332,0.004576375151930002
clustering,287.62025422980605,1.771590401300602e-57,3.0902871355301613,0.9285643200639083,0.3765123556461761,0.0033350789318259784
efficiency_global,138.9413819696474,3.939139365607836e-26,3.320423066516014,0.9126711703449112,0.18151153650004076,0.0036369153284504722
path_length,488.12269264440874,2.4842711427969105e-100,8.829034680271434,0.35692316973399346,0.6394827369605505,0.010861773579733223
gamma,327.6275332996165,5.363674866662488e-66,16.533495692429824,0.035350412184531714,0.42898418349788375,0.020966613531851558
lambda,91.00574313137759,2.905713056404123e-16,6.465790703424318,0.5952046004486673,0.11864121270985449,0.0077622443438577415
sigma,206.0036718008232,3.467081250308e-40,1.931223357732506,0.9830482260138627,0.2694675537343678,0.0018149006934702991
